CustomerID,Gender,Age,Tenure,ServiceType,MonthlyCharges,Contract,PaperlessBilling,PaymentMethod,OnlineSecurity,TechSupport,StreamingTV,StreamingMovies,TotalCharges,Churn
1,Male,57,30,Internet,53.758137532887154,Month-to-month,No,Electronic check,Yes,Yes,Yes,No,1702.7284117039826,Yes
2,Female,60,29,Phone,80.91640528298268,Two year,Yes,Electronic check,No,No,Yes,Yes,2368.789045947883,No
3,Female,46,53,Both,97.59584418813597,Month-to-month,Yes,Mailed check,Yes,No,Yes,No,5219.803076085448,No
4,Male,42,43,Internet,27.61451622015302,One year,Yes,Bank transfer,No,No,Yes,No,1212.7996603948038,No
5,Female,36,11,Internet,35.80597336011924,One year,No,Mailed check,Yes,Yes,No,Yes,400.9604742864621,No
6,Female,21,18,Internet,86.50816241420333,Two year,Yes,Credit card,Yes,Yes,Yes,No,1656.8415430241919,No
7,Female,62,1,Internet,93.8402441015417,Two year,No,Bank transfer,Yes,No,No,No,146.26713595622965,No
8,Female,37,40,Internet,78.82017770788354,Two year,No,Electronic check,No,Yes,Yes,No,3242.765830155893,Yes
9,Female,63,39,Internet,118.28033489679264,One year,No,Electronic check,Yes,Yes,No,Yes,4664.261062727656,No
10,Female,18,66,Phone,69.94614891065746,Month-to-month,Yes,Mailed check,No,Yes,Yes,Yes,4695.935240921999,No
11,Female,28,49,Both,33.62923350976436,Month-to-month,No,Mailed check,Yes,No,No,No,1671.3903716519608,No
12,Male,21,46,Phone,88.629106037108,Two year,No,Credit card,Yes,Yes,Yes,No,4122.9442318753745,No
13,Male,24,50,Internet,80.20755221947981,Month-to-month,No,Mailed check,Yes,Yes,No,Yes,4052.311887641812,Yes
14,Female,45,23,Internet,79.04214750302634,Month-to-month,Yes,Credit card,Yes,No,Yes,No,1821.4995983921008,No
15,Male,53,66,Internet,74.58536352463982,Two year,No,Electronic check,No,Yes,Yes,No,5005.021515707936,No
16,Male,24,67,Phone,113.90957095495389,One year,Yes,Mailed check,No,No,No,No,7636.036928204372,No
